차량명,연식,주행거리,가격
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
현대 엑센트(신형) 1.4 VVT 모던,17년 12월식(18년형),"117,477km",690만원
기아 더 뉴 모하비 디젤 3.0 4WD 프레지던트,17년 1월식,"136,663km","1,740만원"
제네시스 G90 가솔린 4WD 3.8 프레스티지,21년 2월식,"95,023km","4,600만원"
현대 포터2 CRDi 카고 초장축 더블캡 프리미엄,21년 12월식(22년형),"44,767km","1,760만원"
기아 올 뉴 카니발 가솔린 9인승 하이리무진 노블레스,17년 11월식(18년형),"102,417km","1,830만원"
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 프레스티지,22년 2월식,"42,305km","2,920만원"
현대 아반떼 MD M16 GDI 럭셔리,11년 2월식,"49,522km",590만원
BMW 5시리즈 (G30) 520i 럭셔리,19년 8월식,"79,687km","2,420만원"
현대 더 뉴 그랜저 가솔린 3.3 캘리그래피,20년 5월식,"40,088km","2,560만원"
BMW X6 (G06) 가솔린 4WD xDrive40i M 스포츠 온라인 익스클루시브,22년 1월식,"75,055km","7,650만원"
르노코리아(삼성) SM6 2.0 LPe LE,19년 8월식(20년형),"103,986km",850만원
기아 레이 프레스티지,17년 3월식,"53,244km",990만원
KG모빌리티(쌍용) 토레스 가솔린 1.5 2WD T7,23년 4월식,"12,167km","2,190만원"
기아 니로 프레스티지,18년 7월식,"117,120km","1,380만원"
현대 더 뉴 그랜저 가솔린 2.5 익스클루시브,22년 1월식,"180,438km","1,850만원"
KG모빌리티(쌍용) 티볼리 아머 디젤 기어 Ⅱ 2WD 드라이빙 기어,18년 8월식,"142,134km",750만원
제네시스 G70 2.0T 엘리트,19년 9월식,"111,583km","1,850만원"
현대 아반떼 AD 1.6 GDI 스마트 세부등급 없음,15년 10월식(16년형),"108,432km",820만원
지프 컴패스 2세대 2.4 리미티드 AWD,19년 9월식,"33,823km","1,570만원"
현대 싼타페 TM 가솔린 2.0T 2WD 인스퍼레이션,19년 6월식(20년형),"86,777km","2,250만원"
기아 K7 프리미어 가솔린 2.5 노블레스,19년 8월식(20년형),"78,528km","2,170만원"
BMW X3 (G01) xDrive 20i M 스포츠,21년 6월식,"104,146km","3,640만원"
기아 더 뉴 쏘렌토 디젤 2.2 2WD 마스터,20년 3월식,"106,785km","1,900만원"
현대 캐스퍼 가솔린 1.0 터보 인스퍼레이션,24년 7월식,"25,976km","1,880만원"
현대 쏘나타 디 엣지 1.6 터보 인스퍼레이션,25년 1월식,"13,712km","2,850만원"
쉐보레(GM대우) 더 넥스트 스파크 LS 세부등급 없음,18년 4월식,"89,678km",490만원
현대 아반떼 (CN7) 가솔린 1.6 모던,22년 9월식(23년형),"34,620km","1,690만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,22년 9월식(23년형),"34,620km","1,690만원"
KG모빌리티(쌍용) 티볼리 아머 기어 에디션 2WD,18년 5월식,"97,299km",980만원
기아 카니발 (4세대) 디젤 2.2 (9인승) 노블레스,22년 8월식(23년형),"49,831km","2,890만원"
현대 그랜저 HG HG240 모던,15년 11월식(16년형),"51,926km","1,090만원"
현대 그랜저 HG HG300 프리미엄,14년 10월식(15년형),"101,198km",720만원
기아 더 뉴 카니발 4세대 디젤 2.2 9인승 프레스티지,24년 7월식(25년형),"24,864km","3,260만원"
현대 아반떼 AD 1.6 GDI 스마트 스페셜,16년 2월식,"89,134km",960만원
현대 싼타페 TM 디젤 2.0 2WD 프레스티지,19년 6월식(20년형),"131,397km","1,850만원"
기아 K5 3세대 가솔린 터보 1.6 시그니처,20년 9월식,"60,855km","1,940만원"
기아 K8 가솔린 2.5 시그니처,22년 1월식,"73,221km","2,790만원"
현대 팰리세이드 가솔린 3.8 4WD 프레스티지 (7인승),20년 5월식,"63,347km","2,540만원"
KG모빌리티(쌍용) 베리 뉴 티볼리 1.5 가솔린 2WD V3,22년 6월식,"82,980km","1,470만원"
제네시스 더 뉴 G70 가솔린 터보 2.5 2WD 스포츠 패키지,24년 3월식,"22,088km","4,050만원"
BMW X1 (F48) xDrive 20i xLine,21년 11월식(22년형),"98,450km","2,540만원"
BMW 6시리즈 GT (G32) 630i xDrive M 스포츠,23년 5월식,"29,523km","5,950만원"
기아 K5 3세대 가솔린 터보 1.6 시그니처,21년 1월식,"30,874km","2,390만원"
BMW 5시리즈 (G30) 520i M 스포츠,20년 4월식,"90,861km","3,050만원"
쉐보레(GM대우) 더 뉴 트랙스 1.4 프리미어,19년 5월식,"75,674km",930만원
기아 더 뉴 카니발 4세대 가솔린 3.5 하이리무진 시그니처 7인승,24년 2월식,"28,019km","5,280만원"
르노코리아(삼성) QM6 가솔린 2WD RE 시그니처,18년 10월식(19년형),"115,205km","1,270만원"
현대 NF 쏘나타 트랜스폼 N20 트랜스폼 기본형,09년 6월식,"92,057km",400만원
벤츠 GLC-클래스 X253 GLC220 d 4MATIC 쿠페,21년 4월식,"133,664km","3,620만원"
기아 셀토스 가솔린 터보 1.6 4WD 노블레스,19년 11월식(20년형),"73,249km","1,800만원"
기아 K7 프리미어 하이브리드 프레스티지,20년 5월식,"81,724km","2,150만원"
르노코리아(삼성) 아르카나 가솔린 1.6 테크노,26년 1월식,"5,251km","2,080만원"
기아 올 뉴 K7 3.0 LPI 프레스티지,17년 8월식,"86,980km","1,490만원"
현대 베뉴 1.6 모던,20년 1월식,"56,465km","1,540만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
기아 K3 트렌디,14년 1월식,"70,139km",790만원
KG모빌리티(쌍용) 티볼리 아머 VX 2WD,18년 7월식,"59,912km","1,030만원"
기아 쏘렌토 4세대 디젤 2.2 4WD 프레스티지,22년 6월식,"74,919km","2,570만원"
기아 셀토스 가솔린 터보 1.6 2WD 시그니처,21년 7월식(22년형),"82,691km","1,820만원"
르노코리아(삼성) SM3 네오 SE,17년 1월식,"47,284km",650만원
현대 그랜저 (GN7) 가솔린 2.5 익스클루시브,24년 9월식(25년형),"10,513km","3,430만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 프레스티지,21년 1월식,"57,324km","2,650만원"
현대 팰리세이드 디젤 2.2 2WD 익스클루시브 (7인승),22년 2월식,"49,145km","2,890만원"
현대 코나 1.6 터보 4WD 모던 아트,18년 10월식,"80,385km","1,450만원"
기아 올 뉴 K3 노블레스,18년 10월식(19년형),"118,897km","1,250만원"
기아 K5 3세대 가솔린 터보 1.6 노블레스,21년 6월식,"96,898km","1,680만원"
제네시스 G80 3.3 GDI 럭셔리,17년 2월식,"136,156km","1,370만원"
현대 투싼 (4세대) 1.6 터보 프리미엄,21년 10월식(22년형),"50,649km","2,320만원"
현대 팰리세이드 디젤 2.2 2WD 프레스티지 (7인승),20년 5월식,"77,574km","2,560만원"
기아 셀토스 가솔린 터보 1.6 2WD 트렌디,21년 2월식(22년형),"82,195km","1,500만원"
BMW 5시리즈 (G30) 520i 럭셔리,18년 12월식,"81,958km","2,450만원"
KG모빌리티(쌍용) 렉스턴 W 2.0 4WD 노블레스,13년 11월식(14년형),"81,116km",830만원
쉐보레(GM대우) 올 뉴 말리부 2.0 터보 퍼펙트 블랙,16년 11월식(17년형),"89,066km","1,180만원"
현대 베뉴 1.6 모던,21년 3월식,"57,092km","1,480만원"
현대 그랜저 (GN7) 가솔린 3.5 2WD 캘리그래피,24년 5월식,"30,437km","3,710만원"
기아 올 뉴 모닝 럭셔리,14년 12월식(15년형),"52,539km",570만원
제네시스 GV80 가솔린 2.5 2WD (7인승),20년 7월식,"48,701km","4,680만원"
쉐보레(GM대우) 올란도 2.0 디젤 LTZ 프리미엄,14년 6월식,"74,944km",730만원
벤츠 GLA-클래스 X156 GLA220,19년 7월식,"76,527km","1,890만원"
기아 더 뉴 쏘렌토 가솔린 2.0 터보 2WD 노블레스,17년 11월식(18년형),"75,756km","1,820만원"
기아 더 뉴 쏘렌토 가솔린 2.0 터보 2WD 노블레스,19년 2월식,"105,517km","1,830만원"
현대 제네시스 DH G330 프리미엄 AWD,15년 10월식(16년형),"126,778km","1,260만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
혼다 어코드 10세대 2.0 하이브리드 투어링,21년 2월식,"102,135km","2,300만원"
현대 코나 1.6 터보 2WD 모던 아트,19년 2월식,"123,215km","1,370만원"
기아 K5 2세대 2.0 MX 스타일 에디션,18년 1월식,"97,700km","1,090만원"
기아 올 뉴 모닝 스마트,14년 2월식,"32,722km",470만원
현대 아반떼 N 2.0 터보,21년 9월식(22년형),"62,148km","2,120만원"
현대 아반떼 AD 1.6 GDI 모던 세부등급 없음,15년 11월식(16년형),"95,594km","1,030만원"
기아 올 뉴 카니발 9인승 럭셔리,17년 1월식,"112,020km","1,120만원"
제네시스 GV80 가솔린 2.5 AWD (7인승),22년 4월식,"44,198km","5,170만원"
현대 그랜저 HG HG240 모던,13년 1월식,"95,651km",880만원
르노코리아(삼성) QM6 디젤 2WD LE,17년 8월식,"81,393km","1,090만원"
현대 에쿠스(신형) VS380 익스클루시브,13년 6월식(14년형),"104,176km","1,450만원"
기아 더 뉴 니로 프레스티지,21년 2월식,"59,667km","1,750만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,22년 2월식,"16,225km","1,880만원"
기아 셀토스 가솔린 터보 1.6 4WD 노블레스,20년 4월식,"109,097km","1,810만원"
기아 K5 2세대 2.0 MX 프레스티지,17년 6월식(18년형),"76,341km","1,250만원"
기아 레이 디럭스,17년 3월식,"93,549km",750만원
벤츠 E-클래스 W212 E350 4MATIC 아방가르드 인텔리전트 드라이브,14년 3월식,"88,351km","1,190만원"
현대 싼타페 TM 가솔린 2.0T 4WD 프레스티지,20년 4월식,"86,813km","2,210만원"
제네시스 GV70 가솔린 터보 2.5 2WD,23년 10월식(24년형),"46,490km","3,850만원"
제네시스 G70 2.0T 스포츠 패키지,19년 1월식,"120,429km","2,270만원"
기아 올 뉴 모닝 디럭스 트렌디,14년 11월식(15년형),"32,841km",630만원
기아 K7 프리미어 가솔린 2.5 X 에디션,20년 6월식,"103,510km","1,970만원"
기아 K7 프리미어 가솔린 2.5 X 에디션,20년 4월식,"96,593km","1,970만원"
현대 올 뉴 투싼 TL 디젤 1.6 2WD 모던,20년 2월식,"88,803km","1,410만원"
볼보 XC40 T4 인스크립션,20년 7월식,"59,563km","2,890만원"
쉐보레(GM대우) 올 뉴 말리부 1.5 터보 LTZ 프리미엄 세이프티,17년 4월식,"119,045km",810만원
기아 스포티지 더 볼드 디젤 2.0 2WD 럭셔리,19년 7월식,"110,469km","1,390만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
쉐보레(GM대우) 스파크 LT 기본형,14년 4월식,"28,989km",480만원
기아 올 뉴 카니발 9인승 럭셔리,17년 3월식,"90,301km","1,250만원"
현대 캐스퍼 가솔린 1.0 터보 인스퍼레이션,22년 4월식(23년형),"51,666km","1,570만원"
기아 스포티지 4세대 가솔린 2.0 2WD 노블레스,18년 8월식,"31,964km","1,750만원"
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,17년 3월식,"100,130km","1,350만원"
벤츠 A-클래스 W176 A200,16년 3월식,"87,917km","1,190만원"
르노코리아(삼성) SM5 노바 클래식,16년 11월식(17년형),"74,413km",620만원
현대 아반떼 MD M16 GDI 럭셔리,11년 8월식(12년형),"64,194km",590만원
기아 레이 디럭스,14년 4월식,"54,098km",770만원
기아 더 뉴 니로 노블레스,20년 2월식,"73,753km","1,690만원"
현대 싼타페 TM 디젤 2.0 2WD 익스클루시브,19년 12월식(20년형),"103,593km","1,890만원"
현대 LF 쏘나타 2.0 스마트 세부등급 없음,16년 5월식(17년형),"115,512km",990만원
기아 K5 3세대 가솔린 터보 1.6 시그니처,21년 3월식,"87,473km","2,190만원"
현대 더 뉴 아반떼 1.6 GDi 모던 기본형,14년 9월식(15년형),"28,732km",890만원
현대 아반떼 (CN7) 가솔린 1.6 모던,20년 11월식(21년형),"87,980km","1,660만원"
현대 아반떼 MD M16 GDI 럭셔리,11년 11월식(12년형),"69,266km",490만원
기아 올 뉴 쏘렌토 디젤 2.0 2WD 노블레스 스페셜,16년 11월식(17년형),"92,653km","1,580만원"
기아 더 뉴 레이 밴 (2인승) 프레스티지 스폐셜,22년 6월식,"7,380km","1,220만원"
쉐보레(GM대우) 올란도 2.0 디젤 LT 세이프티팩,15년 5월식,"56,479km",770만원
현대 포터2 CRDi 카고 초장축 더블캡 스마트,17년 9월식(18년형),"57,475km","1,320만원"
지프 체로키(KL) 2.4 론지튜드 AWD,17년 4월식,"87,621km","1,150만원"
현대 올 뉴 투싼 TL 가솔린 1.6 터보 AWD 프리미엄,19년 2월식,"96,265km","1,690만원"
르노코리아(삼성) SM3 네오 LE,15년 12월식(16년형),"72,082km",560만원
기아 스포티지 4세대 가솔린 2.0 2WD 트렌디,17년 3월식,"62,955km","1,430만원"
현대 더 뉴 그랜저 가솔린 2.5 르블랑,21년 11월식(22년형),"37,907km","2,640만원"
현대 더 뉴 그랜저 가솔린 2.5 프리미엄 초이스,21년 1월식,"98,875km","2,070만원"
기아 올 뉴 모닝 (JA) 럭셔리,18년 1월식,"43,940km",890만원
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
현대 쏘나타 DN8 2.0 가솔린 모던,21년 12월식(22년형),"77,477km","1,690만원"
기아 K5 2세대 2.0 MX 프레스티지,16년 3월식,"82,273km","1,090만원"
르노코리아(삼성) 더 뉴 QM6 F/L LPG 2.0 (퀘스트) LE,23년 3월식(24년형),"36,542km","1,670만원"
기아 더 뉴 카니발 9인승 노블레스,19년 1월식,"91,096km","1,720만원"
쉐보레(GM대우) 올 뉴 말리부 2.0 터보 LTZ 프리미엄,16년 10월식(17년형),"55,250km",890만원
기아 셀토스 가솔린 터보 1.6 2WD 시그니처,21년 6월식(22년형),"81,356km","1,880만원"
현대 쏘나타 DN8 2.0 가솔린 프리미엄 밀레니얼,19년 4월식(20년형),"73,212km","1,770만원"
기아 더 뉴 모닝 럭셔리,16년 7월식,"58,080km",780만원
기아 디 올 뉴 스포티지 1.6 가솔린 터보 2WD 시그니처 그래비티,21년 9월식(22년형),"66,557km","2,670만원"
기아 더 뉴 K9 2세대 3.8 GDI AWD 마스터즈,23년 1월식,"79,045km","4,310만원"
기아 올 뉴 카니발 가솔린 7인승 리무진 프레지던트,16년 10월식(17년형),"74,370km","1,570만원"
KG모빌리티(쌍용) 베리 뉴 티볼리 1.5 가솔린 2WD V1,22년 3월식,"30,340km","1,250만원"
기아 니로 프레스티지,16년 8월식(17년형),"121,889km","1,250만원"
르노코리아(삼성) XM3 가솔린 1.6 LE,23년 5월식,"91,118km","1,190만원"
현대 넥쏘 프리미엄,23년 8월식(24년형),"17,124km","2,590만원"
기아 올 뉴 카니발 9인승 하이리무진 프레스티지,17년 5월식(18년형),"107,172km","1,750만원"
기아 모닝 어반 가솔린 1.0 시그니쳐,21년 4월식,"43,413km","1,240만원"
현대 더 뉴 그랜저 가솔린 2.5 캘리그래피,22년 1월식,"83,373km","2,750만원"
현대 더 뉴 아반떼 1.6 GDi 스마트 기본형,15년 5월식(16년형),"97,567km",620만원
르노코리아(삼성) 아르카나 가솔린 1.6 아이코닉,25년 1월식,"15,621km","2,090만원"
기아 레이 밴,17년 12월식,"37,989km",820만원
기아 올 뉴 모닝 디럭스,12년 3월식,"31,808km",520만원
기아 올 뉴 모닝 (JA) 베이직 플러스,18년 11월식,"40,675km",680만원
현대 아슬란 G300 익스클루시브,16년 11월식,"100,412km","1,000만원"
제네시스 GV80 디젤 3.0 AWD (7인승),20년 11월식,"144,583km","3,920만원"
현대 더 뉴 아반떼 1.6 GDi 모던 기본형,15년 1월식,"76,446km",820만원
르노코리아(삼성) 더 뉴 QM6 F/L 가솔린 2.0 LE,23년 4월식(24년형),"55,858km","1,950만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
현대 더 뉴 그랜저 LPG 3.0 프리미엄 (렌터카),21년 3월식,"121,446km","2,050만원"
르노코리아(삼성) 뉴 QM6 LPG 2.0 2WD (일반인 판매용) RE 시그니처,22년 3월식,"99,051km","1,830만원"
쉐보레(GM대우) 올 뉴 말리부 2.0 터보 퍼펙트 블랙,16년 11월식(17년형),"80,714km","1,250만원"
기아 뉴 쏘렌토 R 디젤 2.0 2WD 리미티드,12년 8월식(13년형),"106,348km",990만원
제네시스 G80 3.3 GDI AWD 프레스티지,18년 11월식(19년형),"82,823km","2,280만원"
현대 더 뉴 아반떼 AD 1.6 스마트,19년 12월식(20년형),"87,183km","1,100만원"
현대 코나 1.6 터보 2WD 모던 팝,19년 10월식,"72,976km","1,550만원"
제네시스 G70 2.2D 엘리트,18년 11월식(19년형),"105,406km","1,790만원"
현대 그랜저 HG HG300 익스클루시브,16년 10월식(17년형),"108,699km","1,100만원"
현대 그랜저 IG 3.0 익스클루시브 스페셜,17년 5월식(18년형),"104,732km","1,360만원"
쉐보레(GM대우) 올란도 2.0 디젤 LTZ 프리미엄,12년 9월식(13년형),"76,847km",490만원
벤츠 GLE-클래스 W167 디젤 4WD GLE400d 4MATIC 쿠페,21년 2월식,"33,506km","7,470만원"
폭스바겐 T-Roc 2.0 디젤 프레스티지,21년 1월식,"7,286km","2,650만원"
현대 뉴 투싼 ix 디젤(e-VGT) 4WD 모던,13년 6월식(14년형),"73,945km",990만원
기아 뉴 쏘렌토 R 디젤 2.0 2WD 노블레스,13년 10월식(14년형),"66,591km",970만원
현대 팰리세이드 디젤 2.2 2WD 프레스티지 (8인승),21년 6월식(22년형),"73,382km","2,890만원"
현대 그랜저 IG 3.0 익스클루시브 스페셜,18년 5월식(19년형),"126,455km","1,630만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,20년 7월식(21년형),"118,679km","1,480만원"
기아 쏘렌토 4세대 디젤 2.2 2WD 시그니처,20년 7월식(21년형),"121,387km","2,480만원"
KG모빌리티(쌍용) 티볼리 에어 가솔린 1.6 RX 2WD,17년 8월식(18년형),"49,508km","1,130만원"
현대 더 뉴 그랜저 가솔린 2.5 익스클루시브,21년 3월식,"127,530km","2,070만원"
현대 아반떼 AD 1.6 GDI 밸류 플러스,17년 8월식(18년형),"93,510km","1,050만원"
현대 아이오닉 5 롱레인지 AWD 익스클루시브,22년 7월식,"29,459km","3,520만원"
기아 레이 디럭스 스페셜,13년 2월식,"37,171km",790만원
쉐보레(GM대우) 올 뉴 말리부 1.5 터보 LT 디럭스,17년 10월식,"60,427km",930만원
기아 K8 하이브리드 노블레스,21년 6월식(22년형),"88,991km","2,710만원"
기아 올 뉴 K7 2.4 GDI 프레스티지,16년 5월식,"120,692km","1,040만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
제네시스 G80 3.3 GDI AWD 럭셔리,18년 1월식,"135,587km","1,690만원"
기아 K5 3세대 가솔린 터보 1.6 시그니처,20년 9월식,"125,893km","1,770만원"
르노코리아(삼성) 더 뉴 QM6 가솔린 2WD 2.0 GDe RE,20년 4월식,"83,864km","1,520만원"
제네시스 G80 3.3 GDI AWD 럭셔리,18년 2월식,"90,113km","1,510만원"
쉐보레(GM대우) 트레일블레이저 1.3 가솔린 터보 2WD 엑티브,20년 5월식(21년형),"76,000km","1,610만원"
현대 제네시스 BH330 프리미엄 스페셜,13년 1월식,"73,222km","1,170만원"
현대 그랜저 IG 3.0 LPi 모던 (렌터카용),17년 10월식(18년형),"81,792km","1,620만원"
현대 아반떼 MD M16 GDI 스마트,12년 11월식(13년형),"37,196km",570만원
기아 올 뉴 K3 노블레스,18년 7월식(19년형),"69,028km","1,450만원"
쉐보레(GM대우) 더 뉴 스파크 밴 세부등급 없음,20년 9월식(21년형),"27,478km",690만원
현대 투싼 (4세대) 2.0 디젤 인스퍼레이션,20년 12월식(21년형),"39,675km","2,640만원"
현대 쏘나타 DN8 하이브리드 프리미엄 플러스,21년 12월식(22년형),"105,696km","1,910만원"
르노코리아(삼성) SM3 네오 LE,15년 11월식(16년형),"43,454km",650만원
쉐보레(GM대우) 올 뉴 말리부 1.5 터보 LTZ 프리미엄 세이프티,16년 6월식(17년형),"128,580km",870만원
현대 쏘나타 DN8 2.0 가솔린 프리미엄,21년 4월식,"94,882km","1,550만원"
폭스바겐 올 뉴 제타 1.4 가솔린 1.4 프레스티지,20년 12월식,"74,134km","1,620만원"
기아 스팅어 마이스터 2.5 터보 2WD 마스터즈,21년 5월식,"60,338km","2,750만원"
현대 더 뉴 싼타페 가솔린 2.5 2WD 캘리그래피,23년 5월식,"19,064km","3,090만원"
현대 넥쏘 프리미엄,19년 2월식,"26,369km","1,750만원"
기아 K5 3세대 가솔린 터보 1.6 시그니처,20년 5월식,"84,671km","1,910만원"
