차량명,연식,주행거리,가격
KG모빌리티(쌍용) 토레스 가솔린 1.5 2WD T7,23년 2월식,"31,475km","2,290만원"
현대 그랜저 하이브리드 (GN7) 가솔린 터보 1.6 하이브리드 익스클루시브,24년 4월식,"31,345km","3,830만원"
기아 더 뉴 K7 2.4 GDI 프레스티지,16년 2월식,"58,588km",960만원
현대 더 뉴 투싼 하이브리드 가솔린 터보 1.6 2WD 인스퍼레이션,24년 1월식,"37,736km","3,350만원"
제네시스 GV80 디젤 3.0 AWD (5인승),22년 3월식,"104,961km","4,090만원"
기아 카니발 (4세대) 디젤 2.2 (7인승) 시그니처,23년 8월식,"18,302km","3,870만원"
제네시스 GV70 가솔린 터보 2.5 AWD,23년 2월식,"13,157km","4,190만원"
현대 투싼 (4세대) 1.6 터보 인스퍼레이션,21년 2월식,"82,959km","2,290만원"
제네시스 G70 2.0T AWD 엘리트,19년 12월식(20년형),"62,623km","2,450만원"
기아 더 뉴 니로 노블레스 스폐셜,21년 1월식,"100,303km","1,770만원"
현대 아반떼 하이브리드 (CN7) 인스퍼레이션,21년 12월식(22년형),"54,318km","1,750만원"
현대 디 올 뉴 싼타페 가솔린 2.5 터보 2WD 프레스티지,24년 4월식,"17,193km","3,400만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
현대 더 뉴 투싼 가솔린 터보 1.6 2WD 인스퍼레이션,25년 9월식,"4,359km","3,170만원"
현대 쏘나타 뉴 라이즈 2.0 프리미엄 스페셜,19년 1월식,"86,650km","1,570만원"
KG모빌리티(쌍용) 더 뉴 티볼리 가솔린 1.6 V1 2WD,23년 7월식(24년형),"50,321km","1,250만원"
기아 K5 3세대 가솔린 터보 1.6 프레스티지,22년 1월식,"48,562km","2,010만원"
제네시스 GV80 가솔린 2.5 AWD (5인승),22년 2월식,"115,594km","3,800만원"
기아 K5 3세대 가솔린 터보 1.6 프레스티지,21년 12월식(22년형),"46,774km","1,990만원"
KG모빌리티(쌍용) 뷰티풀 코란도 가솔린 2WD C5 프라임,20년 2월식,"83,837km","1,300만원"
벤츠 GLE-클래스 W167 디젤 4WD GLE400d 4MATIC 쿠페,21년 2월식,"70,968km","6,350만원"
BMW X6 (G06) 가솔린 4WD xDrive40i M 스포츠,22년 9월식,"49,897km","7,390만원"
기아 더 뉴 기아 레이 시그니처,23년 7월식,"24,451km","1,550만원"
